timestamp,sample_idx,s1,s2,deg_s1,deg_s2,err32,s1x_raw,s1y_raw,node_count,conn,rm,iso,iso_id,ins,ins_id,fpga_ts_cycles,iter_us
2026-04-13 18:04:16.996,0,2,1,2,1,619336,228,-71,3,1,0,0,39,0,2,1637823,0.000
2026-04-13 18:04:16.997,1,2,1,2,1,620470,246,-141,3,1,0,0,39,0,2,1652510,543.963
2026-04-13 18:04:16.997,2,0,2,1,2,593529,43,516,3,1,0,0,39,0,2,1667198,544.000
2026-04-13 18:04:16.998,3,0,2,1,2,593065,5,479,3,1,0,0,39,0,2,1681886,544.000
2026-04-13 18:04:16.998,4,0,2,1,2,638999,-257,440,3,1,0,0,39,0,2,1696574,544.000
2026-04-13 18:04:16.999,5,2,1,2,1,614540,315,-132,3,1,0,0,39,0,2,1711262,544.000
2026-04-13 18:04:16.046,6,0,1,2,2,684595,-463,262,3,1,0,0,39,0,2,1725950,544.000
2026-04-13 18:04:16.046,7,0,1,2,2,697135,-449,114,3,1,0,0,39,0,2,1740643,544.185
2026-04-13 18:04:16.046,8,2,1,2,2,612417,354,-60,3,1,0,0,39,0,2,1755331,544.000
2026-04-13 18:04:16.046,9,2,0,2,2,668229,366,230,3,1,0,0,39,0,2,1770019,544.000
2026-04-13 18:04:16.047,10,2,0,2,2,686512,404,399,3,1,0,0,39,0,2,1784707,544.000
2026-04-13 18:04:16.047,11,1,2,2,2,530661,260,-653,3,1,0,0,39,0,2,1799395,544.000
2026-04-13 18:04:16.047,12,0,1,2,2,719050,-532,-99,3,1,0,0,39,0,2,1814083,544.000
2026-04-13 18:04:16.047,13,1,0,2,2,529978,200,-613,3,1,0,0,39,0,2,1828771,544.000
2026-04-13 18:04:16.047,14,1,2,2,2,531986,206,-537,3,1,0,0,39,0,2,1843459,544.000
2026-04-13 18:04:16.047,15,1,2,2,2,547329,360,-578,3,1,0,0,39,0,2,1858147,544.000
2026-04-13 18:04:16.048,16,0,1,2,2,711863,-487,-164,3,1,0,0,39,0,2,1872835,544.000
2026-04-13 18:04:16.048,17,2,0,2,2,709090,217,554,3,1,0,0,39,0,2,1887523,544.000
