timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 18:06:44.037,0,0,2,1,0
2026-04-13 18:06:44.037,0,1,2,1,0
2026-04-13 18:06:44.060,1,0,1,1,0
2026-04-13 18:06:44.060,1,0,2,4,3
2026-04-13 18:06:44.060,1,1,2,1,0
2026-04-13 18:06:44.093,2,0,2,1,0
2026-04-13 18:06:44.093,2,0,3,1,0
2026-04-13 18:06:44.093,2,1,2,1,0
2026-04-13 18:06:44.093,2,1,3,1,0
2026-04-13 18:06:44.101,3,0,2,14,13
2026-04-13 18:06:44.101,3,0,3,1,0
2026-04-13 18:06:44.101,3,1,2,1,0
2026-04-13 18:06:44.101,3,1,3,3,2
2026-04-13 18:06:44.101,3,2,3,20,19
2026-04-13 18:06:44.125,4,0,2,3,2
2026-04-13 18:06:44.125,4,0,3,1,0
2026-04-13 18:06:44.125,4,1,2,1,0
2026-04-13 18:06:44.125,4,1,3,20,19
2026-04-13 18:06:44.125,4,2,4,1,0
2026-04-13 18:06:44.125,4,3,4,1,0
2026-04-13 18:06:44.147,5,0,2,26,25
2026-04-13 18:06:44.147,5,0,3,1,0
2026-04-13 18:06:44.147,5,0,4,2,1
2026-04-13 18:06:44.147,5,1,2,1,0
2026-04-13 18:06:44.147,5,1,3,40,39
2026-04-13 18:06:44.147,5,1,4,3,2
2026-04-13 18:06:44.147,5,2,4,1,0
2026-04-13 18:06:44.147,5,3,4,2,1
2026-04-13 18:06:44.167,6,0,2,44,43
2026-04-13 18:06:44.167,6,0,4,4,3
2026-04-13 18:06:44.167,6,0,5,1,0
2026-04-13 18:06:44.167,6,1,2,1,0
2026-04-13 18:06:44.167,6,1,3,25,24
2026-04-13 18:06:44.167,6,1,4,1,0
2026-04-13 18:06:44.167,6,2,4,4,3
2026-04-13 18:06:44.167,6,3,4,9,8
2026-04-13 18:06:44.167,6,3,5,1,0
2026-04-13 18:06:44.205,7,0,4,3,2
2026-04-13 18:06:44.205,7,0,5,2,1
2026-04-13 18:06:44.205,7,1,2,1,0
2026-04-13 18:06:44.205,7,1,3,43,42
2026-04-13 18:06:44.205,7,1,4,2,1
