timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 14:02:04.560,0,0,27,1,0
2026-04-13 14:02:04.560,0,0,30,3,2
2026-04-13 14:02:04.560,0,1,34,1,0
2026-04-13 14:02:04.560,0,2,29,1,0
2026-04-13 14:02:04.560,0,3,31,2,1
2026-04-13 14:02:04.560,0,4,6,1,0
2026-04-13 14:02:04.560,0,4,35,1,0
2026-04-13 14:02:04.560,0,5,25,2,1
2026-04-13 14:02:04.560,0,5,37,1,0
2026-04-13 14:02:04.560,0,6,23,2,1
2026-04-13 14:02:04.560,0,7,33,1,0
2026-04-13 14:02:04.560,0,7,37,3,2
2026-04-13 14:02:04.560,0,8,15,1,0
2026-04-13 14:02:04.560,0,9,19,3,2
2026-04-13 14:02:04.560,0,9,32,1,0
2026-04-13 14:02:04.560,0,10,21,2,1
2026-04-13 14:02:04.560,0,11,20,1,0
2026-04-13 14:02:04.560,0,11,26,1,0
2026-04-13 14:02:04.560,0,12,31,1,0
2026-04-13 14:02:04.560,0,13,22,1,0
2026-04-13 14:02:04.560,0,13,27,2,1
2026-04-13 14:02:04.560,0,14,36,1,0
2026-04-13 14:02:04.560,0,15,26,2,1
2026-04-13 14:02:04.560,0,16,28,1,0
2026-04-13 14:02:04.560,0,16,35,3,2
2026-04-13 14:02:04.560,0,17,24,1,0
2026-04-13 14:02:04.560,0,18,22,1,0
2026-04-13 14:02:04.560,0,18,33,3,2
2026-04-13 14:02:04.560,0,19,32,2,1
2026-04-13 14:02:04.560,0,19,38,4,3
2026-04-13 14:02:04.560,0,20,30,1,0
2026-04-13 14:02:04.560,0,21,28,1,0
2026-04-13 14:02:04.560,0,23,38,1,0
2026-04-13 14:02:04.560,0,24,29,1,0
2026-04-13 14:02:04.560,1,0,27,1,0
2026-04-13 14:02:04.560,1,0,30,1,0
2026-04-13 14:02:04.560,1,1,34,1,0
2026-04-13 14:02:04.560,1,2,29,1,0
2026-04-13 14:02:04.560,1,3,31,1,0
2026-04-13 14:02:04.560,1,4,6,1,0
2026-04-13 14:02:04.560,1,4,35,1,0
2026-04-13 14:02:04.560,1,5,25,3,2
2026-04-13 14:02:04.560,1,5,37,1,0
