timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 18:04:16.995,0,0,2,1,0
2026-04-13 18:04:16.995,0,1,2,1,0
2026-04-13 18:04:16.065,1,0,1,1,0
2026-04-13 18:04:16.065,1,0,2,4,3
2026-04-13 18:04:16.065,1,1,2,3,2
2026-04-13 18:04:16.111,2,0,1,4,3
2026-04-13 18:04:16.111,2,0,3,1,0
2026-04-13 18:04:16.111,2,1,2,1,0
2026-04-13 18:04:16.111,2,2,3,1,0
2026-04-13 18:04:16.122,3,0,1,2,1
2026-04-13 18:04:16.122,3,0,3,4,3
2026-04-13 18:04:16.122,3,1,2,1,0
2026-04-13 18:04:16.122,3,1,3,21,20
2026-04-13 18:04:16.122,3,2,3,1,0
2026-04-13 18:04:16.153,4,0,1,2,1
2026-04-13 18:04:16.153,4,0,3,2,1
2026-04-13 18:04:16.153,4,1,3,47,46
2026-04-13 18:04:16.153,4,1,4,1,0
2026-04-13 18:04:16.153,4,2,3,1,0
2026-04-13 18:04:16.153,4,2,4,1,0
2026-04-13 18:04:16.164,5,0,1,2,1
2026-04-13 18:04:16.164,5,0,3,4,3
2026-04-13 18:04:16.164,5,1,4,1,0
2026-04-13 18:04:16.164,5,2,3,1,0
2026-04-13 18:04:16.164,5,2,4,2,1
2026-04-13 18:04:16.185,6,0,1,2,1
2026-04-13 18:04:16.185,6,0,5,1,0
2026-04-13 18:04:16.185,6,1,4,1,0
2026-04-13 18:04:16.185,6,2,3,1,0
2026-04-13 18:04:16.185,6,2,4,3,2
2026-04-13 18:04:16.185,6,3,5,1,0
2026-04-13 18:04:16.221,7,0,1,2,1
2026-04-13 18:04:16.221,7,0,5,2,1
2026-04-13 18:04:16.221,7,1,4,1,0
2026-04-13 18:04:16.221,7,2,3,1,0
2026-04-13 18:04:16.221,7,2,4,4,3
2026-04-13 18:04:16.221,7,3,5,1,0
2026-04-13 18:04:16.244,8,0,1,2,1
2026-04-13 18:04:16.244,8,0,5,2,1
2026-04-13 18:04:16.244,8,1,4,1,0
2026-04-13 18:04:16.244,8,1,5,10,9
2026-04-13 18:04:16.244,8,2,4,2,1
