timestamp,sample_idx,s1,s2,deg_s1,deg_s2,err32,s1x_raw,s1y_raw,node_count,conn,rm,iso,iso_id,ins,ins_id
2026-04-13 14:08:42.635,96,1,0,1,1,776855,146,-683,2,1,0,0,0,0,0
2026-04-13 14:08:42.635,97,0,1,1,1,881039,-399,585,2,1,0,0,0,0,0
2026-04-13 14:08:42.635,98,1,0,1,1,782413,24,-635,2,1,0,0,0,0,0
2026-04-13 14:08:42.636,99,1,0,1,1,820722,268,-623,3,1,0,0,0,1,2
2026-04-13 14:08:42.638,0,1,2,1,2,415050,275,-528,3,1,0,0,0,0,2
2026-04-13 14:08:42.639,1,1,2,1,2,448180,457,-397,3,1,0,0,0,0,2
2026-04-13 14:08:42.639,2,2,1,2,1,436160,8,2,3,1,0,0,0,0,2
2026-04-13 14:08:42.639,3,1,2,1,2,471035,286,-496,3,1,0,0,0,0,2
2026-04-13 14:08:42.639,4,0,2,1,2,435823,-349,669,3,1,0,0,0,0,2
2026-04-13 14:08:42.639,5,1,2,1,2,528741,500,-289,3,1,0,0,0,0,2
2026-04-13 14:08:42.640,6,0,2,1,2,434788,-369,724,3,1,0,0,0,0,2
2026-04-13 14:08:42.640,7,1,2,1,2,548744,480,-476,3,1,0,0,0,0,2
2026-04-13 14:08:42.670,8,2,0,2,1,431032,-79,-8,3,1,0,0,0,0,2
2026-04-13 14:08:42.670,9,2,0,2,1,443950,0,114,3,1,0,0,0,0,2
2026-04-13 14:08:42.671,10,2,0,2,1,445573,60,149,3,1,0,0,0,0,2
2026-04-13 14:08:42.671,11,0,2,1,2,486270,-553,489,3,1,0,0,0,0,2
2026-04-13 14:08:42.671,12,0,2,1,2,490473,-546,582,3,1,0,0,0,0,2
2026-04-13 14:08:42.671,13,1,2,1,2,541593,563,-501,3,1,0,0,0,0,2
2026-04-13 14:08:42.671,14,1,2,1,2,549936,646,-410,3,1,0,0,0,0,2
2026-04-13 14:08:42.672,15,0,2,1,2,510238,-660,426,3,1,0,0,0,0,2
2026-04-13 14:08:42.672,16,1,2,1,2,565001,594,-570,3,1,0,0,0,0,2
2026-04-13 14:08:42.672,17,2,0,2,1,446650,46,280,3,1,0,0,0,0,2
2026-04-13 14:08:42.672,18,0,2,1,2,514001,-614,535,3,1,0,0,0,0,2
2026-04-13 14:08:42.672,19,0,2,1,2,531910,-518,674,3,1,0,0,0,0,2
2026-04-13 14:08:42.676,20,1,2,1,2,583849,678,-388,3,1,0,0,0,0,2
2026-04-13 14:08:42.676,21,0,2,1,2,536277,-607,606,3,1,0,0,0,0,2
2026-04-13 14:08:42.676,22,0,2,1,2,588025,-702,342,3,1,0,0,0,0,2
2026-04-13 14:08:42.676,23,2,0,2,1,444089,43,384,3,1,0,0,0,0,2
2026-04-13 14:08:42.676,24,0,2,1,2,609296,-772,160,3,1,0,0,0,0,2
2026-04-13 14:08:42.676,25,1,2,1,2,581705,669,-503,3,1,0,0,0,0,2
2026-04-13 14:08:42.677,26,1,2,1,2,600870,750,-347,3,1,0,0,0,0,2
2026-04-13 14:08:42.677,27,1,2,1,2,626442,649,-522,3,1,0,0,0,0,2
2026-04-13 14:08:42.677,28,0,2,1,2,614417,-656,72,3,1,0,0,0,0,2
2026-04-13 14:08:42.677,29,1,0,2,2,660097,419,-579,3,1,0,0,0,0,2
2026-04-13 14:08:42.677,30,1,2,2,2,661404,395,-651,3,1,0,0,0,0,2
2026-04-13 14:08:42.678,31,0,2,2,2,632125,-682,259,3,1,0,0,0,0,2
2026-04-13 14:08:42.678,32,2,1,2,2,440191,92,255,3,1,0,0,0,0,2
2026-04-13 14:08:42.678,33,0,2,2,2,647129,-621,416,3,1,0,0,0,0,2
2026-04-13 14:08:42.678,34,1,2,2,2,672186,525,-538,3,1,0,0,0,0,2
2026-04-13 14:08:42.678,35,1,2,2,2,674614,552,-620,3,1,0,0,0,0,2
2026-04-13 14:08:42.678,36,2,1,2,2,472332,327,227,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,37,0,2,2,2,658754,-532,566,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,38,1,2,2,2,672577,627,-568,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,39,1,2,2,2,681044,537,-479,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,40,1,2,2,2,681187,598,-495,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,41,1,2,2,2,699814,486,-631,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,42,1,2,2,2,710828,357,-690,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,43,2,0,2,2,468045,241,293,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,44,1,2,2,2,739178,173,-564,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,45,2,1,2,2,499553,444,195,3,1,0,0,0,0,2
2026-04-13 14:08:42.679,46,1,2,2,2,744469,63,-500,3,1,0,0,0,0,2
2026-04-13 14:08:42.681,47,0,1,2,2,640881,-624,509,3,1,0,0,0,0,2
2026-04-13 14:08:42.681,48,1,2,2,2,757097,214,-559,3,1,0,0,0,0,2
2026-04-13 14:08:42.681,49,0,1,2,2,652874,-725,386,3,1,0,0,0,0,2
2026-04-13 14:08:42.683,50,0,2,2,2,663701,-667,512,3,1,0,0,0,0,2
2026-04-13 14:08:42.683,51,1,2,2,2,755027,112,-549,3,1,0,0,0,0,2
2026-04-13 14:08:42.683,52,2,0,2,2,490685,369,238,3,1,0,0,0,0,2
2026-04-13 14:08:42.683,53,1,2,2,2,754415,109,-637,3,1,0,0,0,0,2
2026-04-13 14:08:42.683,54,0,2,2,2,656378,-667,572,3,1,0,0,0,0,2
2026-04-13 14:08:42.684,55,1,2,2,2,757014,126,-746,3,1,0,0,0,0,2
2026-04-13 14:08:42.684,56,1,2,2,2,754776,112,-776,3,1,0,0,0,0,2
2026-04-13 14:08:42.684,57,0,2,2,2,672116,-488,608,3,1,0,0,0,0,2
2026-04-13 14:08:42.684,58,0,2,2,2,672452,-553,622,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,59,2,1,2,2,478910,324,202,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,60,0,2,2,2,669730,-610,600,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,61,0,1,2,2,702175,-710,397,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,62,1,2,2,2,739897,150,-817,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,63,2,1,2,2,476500,301,115,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,64,0,2,2,2,711656,-593,285,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,65,1,2,2,2,756223,34,-666,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,66,1,0,2,2,770413,-76,-553,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,67,0,2,2,2,710351,-510,226,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,68,1,2,2,2,791552,112,-614,3,1,0,0,0,0,2
2026-04-13 14:08:42.685,69,1,2,2,2,799935,170,-730,3,1,0,0,0,0,2
2026-04-13 14:08:42.686,70,0,2,2,2,730097,-379,376,3,1,0,0,0,0,2
2026-04-13 14:08:42.686,71,2,1,2,2,462715,293,71,3,1,0,0,0,0,2
2026-04-13 14:08:42.686,72,2,1,2,2,467888,282,-30,3,1,0,0,0,0,2
2026-04-13 14:08:42.686,73,0,2,2,2,739621,-465,511,3,1,0,0,0,0,2
2026-04-13 14:08:42.686,74,0,2,2,2,740463,-454,438,3,1,0,0,0,0,2
2026-04-13 14:08:42.686,75,1,2,2,2,795111,57,-638,3,1,0,0,0,0,2
2026-04-13 14:08:42.686,76,0,1,2,2,788736,-619,209,3,1,0,0,0,0,2
2026-04-13 14:08:42.686,77,0,2,2,2,821526,-498,402,3,1,0,0,0,0,2
