timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 17:52:58.260,0,0,2,1,0
2026-04-13 17:52:58.260,0,1,2,1,0
2026-04-13 17:52:58.348,1,0,1,1,0
2026-04-13 17:52:58.348,1,0,2,4,3
2026-04-13 17:52:58.348,1,1,2,3,2
2026-04-13 17:52:58.368,2,0,1,4,3
2026-04-13 17:52:58.368,2,0,3,1,0
2026-04-13 17:52:58.368,2,1,2,1,0
2026-04-13 17:52:58.368,2,2,3,1,0
2026-04-13 17:52:58.379,3,0,1,2,1
2026-04-13 17:52:58.379,3,0,3,4,3
2026-04-13 17:52:58.379,3,1,2,1,0
2026-04-13 17:52:58.379,3,1,3,21,20
2026-04-13 17:52:58.379,3,2,3,1,0
2026-04-13 17:52:58.433,4,0,1,2,1
2026-04-13 17:52:58.433,4,0,3,2,1
2026-04-13 17:52:58.433,4,1,3,47,46
2026-04-13 17:52:58.433,4,1,4,1,0
2026-04-13 17:52:58.433,4,2,3,1,0
2026-04-13 17:52:58.433,4,2,4,1,0
2026-04-13 17:52:58.443,5,0,1,2,1
2026-04-13 17:52:58.443,5,0,3,4,3
2026-04-13 17:52:58.443,5,1,4,1,0
2026-04-13 17:52:58.443,5,2,3,1,0
2026-04-13 17:52:58.443,5,2,4,2,1
2026-04-13 17:52:58.452,6,0,1,2,1
2026-04-13 17:52:58.452,6,0,5,1,0
2026-04-13 17:52:58.452,6,1,4,1,0
2026-04-13 17:52:58.452,6,2,3,1,0
2026-04-13 17:52:58.452,6,2,4,3,2
2026-04-13 17:52:58.452,6,3,5,1,0
2026-04-13 17:52:58.493,7,0,1,2,1
2026-04-13 17:52:58.493,7,0,5,2,1
2026-04-13 17:52:58.493,7,1,4,1,0
2026-04-13 17:52:58.493,7,2,3,1,0
2026-04-13 17:52:58.493,7,2,4,4,3
2026-04-13 17:52:58.493,7,3,5,1,0
2026-04-13 17:52:58.529,8,0,1,2,1
2026-04-13 17:52:58.529,8,0,5,2,1
2026-04-13 17:52:58.529,8,1,4,1,0
2026-04-13 17:52:58.529,8,1,5,10,9
2026-04-13 17:52:58.529,8,2,4,2,1
2026-04-13 17:52:58.529,8,2,6,1,0
2026-04-13 17:52:58.529,8,3,5,2,1
2026-04-13 17:52:58.529,8,3,6,1,0
2026-04-13 17:52:58.537,9,0,1,5,4
2026-04-13 17:52:58.537,9,0,5,4,3
2026-04-13 17:52:58.537,9,1,4,1,0
2026-04-13 17:52:58.537,9,1,5,2,1
2026-04-13 17:52:58.537,9,2,4,2,1
2026-04-13 17:52:58.537,9,2,6,1,0
2026-04-13 17:52:58.537,9,3,5,3,2
2026-04-13 17:52:58.537,9,3,6,3,2
2026-04-13 17:52:58.561,10,0,1,2,1
2026-04-13 17:52:58.561,10,0,5,3,2
2026-04-13 17:52:58.561,10,1,4,1,0
2026-04-13 17:52:58.561,10,1,7,1,0
2026-04-13 17:52:58.561,10,2,4,3,2
2026-04-13 17:52:58.561,10,2,6,2,1
2026-04-13 17:52:58.561,10,3,5,1,0
2026-04-13 17:52:58.561,10,3,6,4,3
2026-04-13 17:52:58.561,10,5,6,1,0
2026-04-13 17:52:58.561,10,5,7,1,0
2026-04-13 17:52:58.583,11,0,1,7,6
2026-04-13 17:52:58.583,11,0,5,3,2
2026-04-13 17:52:58.583,11,0,7,1,0
2026-04-13 17:52:58.583,11,1,2,2,1
2026-04-13 17:52:58.583,11,1,4,1,0
2026-04-13 17:52:58.583,11,1,7,4,3
2026-04-13 17:52:58.583,11,2,4,2,1
2026-04-13 17:52:58.583,11,2,6,1,0
2026-04-13 17:52:58.583,11,3,5,1,0
2026-04-13 17:52:58.583,11,3,6,3,2
2026-04-13 17:52:58.583,11,5,6,14,13
2026-04-13 17:52:58.583,11,5,7,2,1
2026-04-13 17:52:59.629,12,0,1,2,1
2026-04-13 17:52:59.629,12,0,5,13,12
2026-04-13 17:52:59.629,12,0,7,4,3
2026-04-13 17:52:59.629,12,1,2,8,7
2026-04-13 17:52:59.629,12,1,4,2,1
2026-04-13 17:52:59.629,12,1,7,1,0
2026-04-13 17:52:59.629,12,2,4,3,2
2026-04-13 17:52:59.629,12,2,8,1,0
2026-04-13 17:52:59.629,12,3,5,1,0
2026-04-13 17:52:59.629,12,3,6,4,3
2026-04-13 17:52:59.629,12,5,6,1,0
