timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 14:04:52.611,0,0,1,1,0
2026-04-13 14:04:52.640,1,0,2,1,0
2026-04-13 14:04:52.640,1,1,2,1,0
2026-04-13 14:04:52.651,2,0,2,1,0
2026-04-13 14:04:52.651,2,1,2,2,1
2026-04-13 14:04:52.651,3,0,1,9,8
2026-04-13 14:04:52.651,3,0,2,1,0
2026-04-13 14:04:52.651,3,1,2,1,0
2026-04-13 14:04:52.665,4,0,1,9,8
2026-04-13 14:04:52.665,4,0,2,2,1
2026-04-13 14:04:52.665,4,1,2,1,0
2026-04-13 14:04:52.665,5,0,1,4,3
2026-04-13 14:04:52.665,5,0,2,1,0
2026-04-13 14:04:52.665,5,1,2,1,0
2026-04-13 14:04:52.685,6,0,2,1,0
2026-04-13 14:04:52.685,6,0,3,1,0
2026-04-13 14:04:52.685,6,1,2,1,0
2026-04-13 14:04:52.685,6,1,3,1,0
2026-04-13 14:04:52.701,7,0,2,3,2
2026-04-13 14:04:52.701,7,0,3,1,0
2026-04-13 14:04:52.701,7,1,2,1,0
2026-04-13 14:04:52.701,7,1,3,6,5
2026-04-13 14:04:52.701,7,2,3,4,3
2026-04-13 14:04:52.701,8,0,2,10,9
2026-04-13 14:04:52.701,8,0,3,1,0
2026-04-13 14:04:52.701,8,1,2,1,0
2026-04-13 14:04:52.701,8,1,3,3,2
2026-04-13 14:04:52.701,8,2,3,15,14
2026-04-13 14:04:52.719,9,0,2,1,0
2026-04-13 14:04:52.719,9,0,3,1,0
2026-04-13 14:04:52.719,9,1,2,2,1
2026-04-13 14:04:52.719,9,1,3,4,3
2026-04-13 14:04:52.719,9,2,3,21,20
2026-04-13 14:04:52.736,10,0,2,8,7
2026-04-13 14:04:52.736,10,0,3,1,0
2026-04-13 14:04:52.736,10,1,2,1,0
2026-04-13 14:04:52.736,10,1,3,9,8
2026-04-13 14:04:52.736,10,2,3,2,1
2026-04-13 14:04:52.752,11,0,2,3,2
2026-04-13 14:04:52.752,11,0,3,1,0
2026-04-13 14:04:52.752,11,1,2,1,0
2026-04-13 14:04:52.752,11,1,3,20,19
2026-04-13 14:04:52.752,11,2,4,1,0
2026-04-13 14:04:52.752,11,3,4,1,0
2026-04-13 14:04:52.752,12,0,2,14,13
2026-04-13 14:04:52.752,12,0,3,2,1
2026-04-13 14:04:52.752,12,0,4,1,0
2026-04-13 14:04:52.752,12,1,2,1,0
2026-04-13 14:04:52.752,12,1,3,25,24
2026-04-13 14:04:52.752,12,1,4,6,5
2026-04-13 14:04:52.752,12,2,4,1,0
2026-04-13 14:04:52.752,12,3,4,2,1
2026-04-13 14:04:52.770,13,0,2,23,22
2026-04-13 14:04:52.770,13,0,3,2,1
2026-04-13 14:04:52.770,13,0,4,2,1
2026-04-13 14:04:52.770,13,1,2,1,0
2026-04-13 14:04:52.770,13,1,3,34,33
2026-04-13 14:04:52.770,13,1,4,5,4
2026-04-13 14:04:52.770,13,2,4,1,0
2026-04-13 14:04:52.770,13,3,4,3,2
2026-04-13 14:04:52.785,14,0,2,30,29
2026-04-13 14:04:52.785,14,0,3,1,0
2026-04-13 14:04:52.785,14,0,4,3,2
2026-04-13 14:04:52.785,14,1,2,1,0
2026-04-13 14:04:52.785,14,1,3,4,3
2026-04-13 14:04:52.785,14,1,4,9,8
2026-04-13 14:04:52.785,14,2,4,1,0
2026-04-13 14:04:52.785,14,3,4,4,3
2026-04-13 14:04:52.802,15,0,2,35,34
2026-04-13 14:04:52.802,15,0,3,2,1
2026-04-13 14:04:52.802,15,0,4,1,0
2026-04-13 14:04:52.802,15,1,2,2,1
2026-04-13 14:04:52.802,15,1,3,16,15
2026-04-13 14:04:52.802,15,1,4,1,0
2026-04-13 14:04:52.802,15,2,4,2,1
2026-04-13 14:04:52.802,15,3,4,2,1
2026-04-13 14:04:52.802,16,0,2,44,43
2026-04-13 14:04:52.802,16,0,4,4,3
2026-04-13 14:04:52.802,16,0,5,1,0
2026-04-13 14:04:52.802,16,1,2,1,0
2026-04-13 14:04:52.802,16,1,3,25,24
2026-04-13 14:04:52.802,16,1,4,1,0
2026-04-13 14:04:52.802,16,2,4,4,3
2026-04-13 14:04:52.802,16,3,4,9,8
2026-04-13 14:04:52.802,16,3,5,1,0
2026-04-13 14:04:52.819,17,0,4,2,1
2026-04-13 14:04:52.819,17,0,5,1,0
2026-04-13 14:04:52.819,17,1,2,1,0
2026-04-13 14:04:52.819,17,1,3,30,29
2026-04-13 14:04:52.819,17,1,4,4,3
2026-04-13 14:04:52.819,17,2,4,1,0
2026-04-13 14:04:52.819,17,3,4,15,14
2026-04-13 14:04:52.819,17,3,5,3,2
2026-04-13 14:04:52.819,17,4,5,5,4
2026-04-13 14:04:52.835,18,0,4,6,5
2026-04-13 14:04:52.835,18,0,5,1,0
2026-04-13 14:04:52.835,18,1,2,1,0
2026-04-13 14:04:52.835,18,1,3,38,37
2026-04-13 14:04:52.835,18,1,4,4,3
2026-04-13 14:04:52.835,18,2,4,1,0
2026-04-13 14:04:52.835,18,3,4,3,2
2026-04-13 14:04:52.835,18,3,5,6,5
