timestamp,snap_idx,node_id,active,degree,x_int,y_int,x_norm,y_norm
2026-04-13 14:02:04.560,1,30,1,2,51,610,0.051000,0.610000
2026-04-13 14:02:04.560,1,31,1,2,-965,-67,-0.965000,-0.067000
2026-04-13 14:02:04.560,1,32,1,2,330,-835,0.330000,-0.835000
2026-04-13 14:02:04.560,1,33,1,2,-670,781,-0.670000,0.781000
2026-04-13 14:02:04.560,1,34,1,1,558,-737,0.558000,-0.737000
2026-04-13 14:02:04.560,1,35,1,2,-202,-405,-0.202000,-0.405000
2026-04-13 14:02:04.560,1,36,1,1,738,-600,0.738000,-0.600000
2026-04-13 14:02:04.560,1,37,1,2,-791,506,-0.791000,0.506000
2026-04-13 14:02:04.560,1,38,1,2,121,-971,0.121000,-0.971000
2026-04-13 14:02:04.560,1,39,1,0,784,-449,0.784000,-0.449000
2026-04-13 14:02:04.560,2,0,1,2,-49,716,-0.049000,0.716000
2026-04-13 14:02:04.560,2,1,1,1,628,-789,0.628000,-0.789000
2026-04-13 14:02:04.560,2,2,1,1,921,173,0.921000,0.173000
2026-04-13 14:02:04.560,2,3,1,1,-946,-277,-0.946000,-0.277000
2026-04-13 14:02:04.560,2,4,1,2,-183,-526,-0.183000,-0.526000
2026-04-13 14:02:04.560,2,5,1,2,-847,424,-0.847000,0.424000
2026-04-13 14:02:04.560,2,6,1,2,-107,-745,-0.107000,-0.745000
2026-04-13 14:02:04.560,2,7,1,2,-711,659,-0.711000,0.659000
2026-04-13 14:02:04.560,2,8,1,1,297,-281,0.297000,-0.281000
2026-04-13 14:02:04.560,2,9,1,2,437,-937,0.437000,-0.937000
2026-04-13 14:02:04.560,2,10,1,1,-371,261,-0.371000,0.261000
2026-04-13 14:02:04.560,2,11,1,2,197,363,0.197000,0.363000
2026-04-13 14:02:04.560,2,12,1,1,-944,85,-0.944000,0.085000
2026-04-13 14:02:04.560,2,13,1,2,-298,935,-0.298000,0.935000
2026-04-13 14:02:04.560,2,14,1,1,775,-524,0.775000,-0.524000
2026-04-13 14:02:04.560,2,15,1,2,242,-35,0.242000,-0.035000
2026-04-13 14:02:04.560,2,16,1,2,-276,-290,-0.276000,-0.290000
2026-04-13 14:02:04.560,2,17,1,1,835,-247,0.835000,-0.247000
2026-04-13 14:02:04.560,2,18,1,2,-514,794,-0.514000,0.794000
2026-04-13 14:02:04.560,2,19,1,3,253,-962,0.253000,-0.962000
2026-04-13 14:02:04.560,2,20,1,2,67,471,0.067000,0.471000
2026-04-13 14:02:04.560,2,21,1,2,-304,22,-0.304000,0.022000
2026-04-13 14:02:04.560,2,22,1,2,-427,889,-0.427000,0.889000
2026-04-13 14:02:04.560,2,23,1,2,75,-851,0.075000,-0.851000
2026-04-13 14:02:04.560,2,24,1,2,853,-103,0.853000,-0.103000
2026-04-13 14:02:04.560,2,25,1,1,-856,265,-0.856000,0.265000
2026-04-13 14:02:04.560,2,26,1,2,213,146,0.213000,0.146000
2026-04-13 14:02:04.560,2,27,1,2,-181,782,-0.181000,0.782000
2026-04-13 14:02:04.560,2,28,1,2,-386,-143,-0.386000,-0.143000
2026-04-13 14:02:04.560,2,29,1,2,912,-3,0.912000,-0.003000
2026-04-13 14:02:04.560,2,30,1,2,49,609,0.049000,0.609000
2026-04-13 14:02:04.560,2,31,1,2,-965,-67,-0.965000,-0.067000
2026-04-13 14:02:04.560,2,32,1,2,329,-836,0.329000,-0.836000
2026-04-13 14:02:04.560,2,33,1,2,-670,763,-0.670000,0.763000
2026-04-13 14:02:04.560,2,34,1,1,561,-725,0.561000,-0.725000
2026-04-13 14:02:04.560,2,35,1,2,-200,-390,-0.200000,-0.390000
2026-04-13 14:02:04.560,2,36,1,1,738,-600,0.738000,-0.600000
2026-04-13 14:02:04.560,2,37,1,2,-792,505,-0.792000,0.505000
2026-04-13 14:02:04.560,2,38,1,2,133,-980,0.133000,-0.980000
2026-04-13 14:02:04.560,2,39,1,0,784,-449,0.784000,-0.449000
2026-04-13 14:02:04.560,3,0,1,2,-58,721,-0.058000,0.721000
2026-04-13 14:02:04.560,3,1,1,1,627,-789,0.627000,-0.789000
2026-04-13 14:02:04.560,3,2,1,1,921,173,0.921000,0.173000
2026-04-13 14:02:04.560,3,3,1,1,-963,-290,-0.963000,-0.290000
2026-04-13 14:02:04.560,3,4,1,2,-184,-526,-0.184000,-0.526000
2026-04-13 14:02:04.560,3,5,1,2,-847,424,-0.847000,0.424000
2026-04-13 14:02:04.560,3,6,1,2,-107,-745,-0.107000,-0.745000
2026-04-13 14:02:04.560,3,7,1,2,-712,658,-0.712000,0.658000
2026-04-13 14:02:04.560,3,8,1,1,283,-276,0.283000,-0.276000
2026-04-13 14:02:04.560,3,9,1,2,435,-938,0.435000,-0.938000
2026-04-13 14:02:04.560,3,10,1,1,-389,262,-0.389000,0.262000
2026-04-13 14:02:04.560,3,11,1,2,197,363,0.197000,0.363000
2026-04-13 14:02:04.560,3,12,1,1,-944,84,-0.944000,0.084000
2026-04-13 14:02:04.560,3,13,1,2,-298,934,-0.298000,0.934000
2026-04-13 14:02:04.560,3,14,1,1,774,-525,0.774000,-0.525000
2026-04-13 14:02:04.560,3,15,1,2,258,-39,0.258000,-0.039000
2026-04-13 14:02:04.560,3,16,1,2,-284,-296,-0.284000,-0.296000
2026-04-13 14:02:04.560,3,17,1,1,835,-247,0.835000,-0.247000
2026-04-13 14:02:04.560,3,18,1,2,-515,794,-0.515000,0.794000
2026-04-13 14:02:04.560,3,19,1,3,267,-965,0.267000,-0.965000
2026-04-13 14:02:04.560,3,20,1,2,67,471,0.067000,0.471000
2026-04-13 14:02:04.560,3,21,1,2,-313,45,-0.313000,0.045000
2026-04-13 14:02:04.560,3,22,1,2,-427,889,-0.427000,0.889000
2026-04-13 14:02:04.560,3,23,1,2,75,-852,0.075000,-0.852000
2026-04-13 14:02:04.560,3,24,1,2,853,-103,0.853000,-0.103000
2026-04-13 14:02:04.560,3,25,1,1,-856,265,-0.856000,0.265000
2026-04-13 14:02:04.560,3,26,1,2,213,144,0.213000,0.144000
2026-04-13 14:02:04.560,3,27,1,2,-191,802,-0.191000,0.802000
2026-04-13 14:02:04.560,3,28,1,2,-386,-145,-0.386000,-0.145000
2026-04-13 14:02:04.560,3,29,1,2,912,-3,0.912000,-0.003000
2026-04-13 14:02:04.560,3,30,1,2,48,609,0.048000,0.609000
2026-04-13 14:02:04.560,3,31,1,2,-959,-71,-0.959000,-0.071000
2026-04-13 14:02:04.560,3,32,1,2,327,-838,0.327000,-0.838000
2026-04-13 14:02:04.560,3,33,1,2,-668,783,-0.668000,0.783000
2026-04-13 14:02:04.560,3,34,1,1,558,-734,0.558000,-0.734000
2026-04-13 14:02:04.560,3,35,1,2,-201,-403,-0.201000,-0.403000
2026-04-13 14:02:04.560,3,36,1,1,738,-600,0.738000,-0.600000
2026-04-13 14:02:04.560,3,37,1,2,-777,519,-0.777000,0.519000
2026-04-13 14:02:04.560,3,38,1,2,122,-971,0.122000,-0.971000
2026-04-13 14:02:04.560,3,39,1,0,784,-449,0.784000,-0.449000
2026-04-13 14:02:04.568,4,0,1,2,-39,724,-0.039000,0.724000
2026-04-13 14:02:04.568,4,1,1,1,630,-784,0.630000,-0.784000
2026-04-13 14:02:04.568,4,2,1,1,921,173,0.921000,0.173000
2026-04-13 14:02:04.568,4,3,1,1,-963,-290,-0.963000,-0.290000
2026-04-13 14:02:04.568,4,4,1,2,-210,-524,-0.210000,-0.524000
2026-04-13 14:02:04.568,4,5,1,2,-864,423,-0.864000,0.423000
2026-04-13 14:02:04.568,4,6,1,2,-97,-768,-0.097000,-0.768000
2026-04-13 14:02:04.568,4,7,1,2,-701,648,-0.701000,0.648000
2026-04-13 14:02:04.568,4,8,1,1,283,-276,0.283000,-0.276000
2026-04-13 14:02:04.568,4,9,1,2,440,-950,0.440000,-0.950000
2026-04-13 14:02:04.568,4,10,1,1,-371,262,-0.371000,0.262000
2026-04-13 14:02:04.568,4,11,1,2,196,363,0.196000,0.363000
2026-04-13 14:02:04.568,4,12,1,1,-941,83,-0.941000,0.083000
2026-04-13 14:02:04.568,4,13,1,2,-299,932,-0.299000,0.932000
2026-04-13 14:02:04.568,4,14,1,1,793,-546,0.793000,-0.546000
2026-04-13 14:02:04.568,4,15,1,2,258,-39,0.258000,-0.039000
2026-04-13 14:02:04.568,4,16,1,2,-284,-296,-0.284000,-0.296000
