timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-15 18:16:29.665,0,0,2,1,0
2026-04-15 18:16:29.665,0,1,2,1,0
2026-04-15 18:16:29.710,1,0,1,1,0
2026-04-15 18:16:29.710,1,0,2,4,3
2026-04-15 18:16:29.710,1,1,2,3,2
2026-04-15 18:16:29.743,2,0,1,4,3
2026-04-15 18:16:29.743,2,0,3,1,0
2026-04-15 18:16:29.743,2,1,2,1,0
2026-04-15 18:16:29.743,2,2,3,1,0
2026-04-15 18:16:29.776,3,0,1,2,1
2026-04-15 18:16:29.776,3,0,3,4,3
2026-04-15 18:16:29.776,3,1,2,1,0
2026-04-15 18:16:29.776,3,1,3,21,20
2026-04-15 18:16:29.776,3,2,3,1,0
2026-04-15 18:16:29.792,4,0,1,2,1
2026-04-15 18:16:29.792,4,0,3,2,1
2026-04-15 18:16:29.792,4,1,3,47,46
2026-04-15 18:16:29.792,4,1,4,1,0
2026-04-15 18:16:29.792,4,2,3,1,0
2026-04-15 18:16:29.792,4,2,4,1,0
2026-04-15 18:16:29.826,5,0,1,2,1
2026-04-15 18:16:29.826,5,0,3,4,3
2026-04-15 18:16:29.826,5,1,4,1,0
2026-04-15 18:16:29.826,5,2,3,1,0
2026-04-15 18:16:29.826,5,2,4,2,1
2026-04-15 18:16:29.859,6,0,1,2,1
2026-04-15 18:16:29.859,6,0,5,1,0
2026-04-15 18:16:29.859,6,1,4,1,0
2026-04-15 18:16:29.859,6,2,3,1,0
2026-04-15 18:16:29.859,6,2,4,3,2
2026-04-15 18:16:29.859,6,3,5,1,0
2026-04-15 18:16:29.893,7,0,1,2,1
2026-04-15 18:16:29.893,7,0,5,2,1
2026-04-15 18:16:29.893,7,1,4,1,0
2026-04-15 18:16:29.893,7,2,3,1,0
2026-04-15 18:16:29.893,7,2,4,4,3
2026-04-15 18:16:29.893,7,3,5,1,0
2026-04-15 18:16:29.926,8,0,1,2,1
2026-04-15 18:16:29.926,8,0,5,2,1
2026-04-15 18:16:29.926,8,1,4,1,0
2026-04-15 18:16:29.926,8,1,5,10,9
2026-04-15 18:16:29.926,8,2,4,2,1
2026-04-15 18:16:29.926,8,2,6,1,0
2026-04-15 18:16:29.926,8,3,5,2,1
2026-04-15 18:16:29.926,8,3,6,1,0
2026-04-15 18:16:29.948,9,0,1,5,4
2026-04-15 18:16:29.948,9,0,5,4,3
2026-04-15 18:16:29.948,9,1,4,1,0
2026-04-15 18:16:29.948,9,1,5,2,1
2026-04-15 18:16:29.948,9,2,4,2,1
2026-04-15 18:16:29.948,9,2,6,1,0
2026-04-15 18:16:29.948,9,3,5,3,2
2026-04-15 18:16:29.948,9,3,6,3,2
2026-04-15 18:16:29.978,10,0,1,2,1
2026-04-15 18:16:29.978,10,0,5,3,2
2026-04-15 18:16:29.978,10,1,4,1,0
2026-04-15 18:16:29.978,10,1,7,1,0
2026-04-15 18:16:29.978,10,2,4,3,2
2026-04-15 18:16:29.978,10,2,6,2,1
2026-04-15 18:16:29.978,10,3,5,1,0
2026-04-15 18:16:29.978,10,3,6,4,3
2026-04-15 18:16:29.978,10,5,6,1,0
2026-04-15 18:16:29.978,10,5,7,1,0
2026-04-15 18:16:29.012,11,0,1,7,6
2026-04-15 18:16:29.012,11,0,5,3,2
2026-04-15 18:16:29.012,11,0,7,1,0
2026-04-15 18:16:29.012,11,1,2,2,1
2026-04-15 18:16:29.012,11,1,4,1,0
2026-04-15 18:16:29.012,11,1,7,4,3
2026-04-15 18:16:29.012,11,2,4,2,1
2026-04-15 18:16:29.012,11,2,6,1,0
2026-04-15 18:16:29.012,11,3,5,1,0
2026-04-15 18:16:29.012,11,3,6,3,2
2026-04-15 18:16:29.012,11,5,6,14,13
2026-04-15 18:16:29.012,11,5,7,2,1
