timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 14:03:24.561,0,0,27,2,1
2026-04-13 14:03:24.561,0,0,30,3,2
2026-04-13 14:03:24.561,0,1,34,1,0
2026-04-13 14:03:24.561,0,2,29,2,1
2026-04-13 14:03:24.561,0,3,31,1,0
2026-04-13 14:03:24.561,0,4,6,2,1
2026-04-13 14:03:24.561,0,4,35,1,0
2026-04-13 14:03:24.561,0,5,25,4,3
2026-04-13 14:03:24.561,0,5,37,2,1
2026-04-13 14:03:24.561,0,6,23,6,5
2026-04-13 14:03:24.561,0,7,33,2,1
2026-04-13 14:03:24.561,0,7,37,1,0
2026-04-13 14:03:24.561,0,8,15,1,0
2026-04-13 14:03:24.561,0,9,19,1,0
2026-04-13 14:03:24.561,0,9,32,1,0
2026-04-13 14:03:24.561,0,10,21,1,0
2026-04-13 14:03:24.561,0,11,20,1,0
2026-04-13 14:03:24.561,0,11,26,3,2
2026-04-13 14:03:24.561,0,12,31,1,0
2026-04-13 14:03:24.561,0,13,22,1,0
2026-04-13 14:03:24.561,0,13,27,1,0
2026-04-13 14:03:24.561,0,14,36,1,0
2026-04-13 14:03:24.561,0,15,26,1,0
2026-04-13 14:03:24.561,0,16,28,1,0
2026-04-13 14:03:24.561,0,16,35,3,2
2026-04-13 14:03:24.561,0,17,24,1,0
2026-04-13 14:03:24.561,0,17,39,45,44
2026-04-13 14:03:24.561,0,18,22,1,0
2026-04-13 14:03:24.561,0,18,33,1,0
2026-04-13 14:03:24.561,0,19,32,2,1
2026-04-13 14:03:24.561,0,19,38,4,3
2026-04-13 14:03:24.561,0,20,30,1,0
2026-04-13 14:03:24.561,0,21,28,2,1
2026-04-13 14:03:24.561,0,23,38,1,0
2026-04-13 14:03:24.561,0,24,29,1,0
2026-04-13 14:03:24.564,1,0,27,1,0
2026-04-13 14:03:24.564,1,0,30,2,1
2026-04-13 14:03:24.564,1,1,34,1,0
2026-04-13 14:03:24.564,1,2,29,2,1
2026-04-13 14:03:24.564,1,3,31,1,0
